x,y
87,47.5152
584,34.2174
4596,48.0
1672,41.1111
2392,69.4737
297,53.6957
4709,44.9811
103,40.1042
138,47.3824
1065,54.0238
1116,24.8214
164,44.3429
247,51.4651
46,79.4348
1422,26.2963
2636,48.0345
100,30.254
505,30.42
497,46.3654
3472,30.3103
161,53.439
214,39.8378
1034,34.5517
333,76.24
1715,51.7083
488,58.3103
3576,31.8333
1058,53.0
2112,48.7895
2424,23.619
1098,76.7949
3518,29.4857
160,26.7083
373,23.3333
168,49.7273
170,49.6957
902,53.5
2026,40.1296
1067,50.75
7438,33.0882
1330,48.4138
2,74.6129
97,38.1667
964,86.0833
691,42.92
18,64.0286
2170,22.1724
15,51.7288
2168,31.36
814,42.1316
185,37.5741
37,63.44
21,40.6842
511,47.186
105,56.3462
969,57.617
383,93.0938
407,72.96
540,33.963
1551,40.5385
732,66.85
693,29.3784
748,35.8621
309,35.7838
1231,25.1429
2010,93.1667
1075,41.3947
27,53.9615
1790,50.36
562,57.8571
1324,45.619
938,84.1667
3604,30.9583
645,29.3585
285,83.125
2035,44.0
103,42.1803
106,38.74
57,56.0476
697,39.25
44,92.0
1468,46.5714
106,37.2609
451,39.4524
1079,47.4
157,37.0789
5314,38.7667
3393,37.1746
2450,40.1389
245,55.84
670,40.5714
1795,39.3111
2990,23.6667
2106,83.3235
2801,41.125
12,58.8929
4641,44.0
1076,55.6333
4169,31.9286
2638,83.5
1667,32.2817
2165,21.9355
4985,57.4412
297,24.9355
4987,30.2353
4389,43.56
3862,41.8409
2419,46.3654
2448,88.2083
3477,42.5
1483,55.2188
644,33.6538
1404,43.7436
4640,24.8525
36,54.569
393,64.8636
2007,41.8148
977,34.2895
31,82.2174
248,29.24
8,37.6111
201,60.2683
1268,48.96
958,42.6154
956,51.9767
5089,37.0526
166,52.6897
657,35.68
66,57.0556
95,40.2667
2097,44.3714
4644,22.4722
1914,40.1429
8,77.2973
371,63.0588
1749,50.1944
1923,35.2
2090,38.5
422,49.6667
2418,29.2286
3559,27.037
4836,50.25
1095,52.1212
385,55.4545
19,45.25
2159,45.7708
3364,33.8846
2295,33.7895
4646,32.5758
1954,51.9167
2,79.9821
39,65.72
2454,39.6296
27,31.6818
2690,53.5946
62,45.9492
6904,30.8529
1081,58.9643
1143,34.4921
1413,30.3036
207,81.0286
117,78.2593
108,41.9091
55,76.4211
575,66.0
2160,27.8462
4642,28.5778
3961,29.102
1945,66.3478
1973,22.2121
388,42.9545
925,60.3913
802,38.4615
1326,55.0952
1400,30.4545
185,61.7667
92,40.0526
4645,34.7353
3454,46.25
2542,42.9429
2651,38.2051
3967,22.5854
103,49.6667
647,57.3462
3427,24.8909
3966,37.8043
6995,30.1364
172,46.9412
1275,48.3077
3,29.9512
4,28.4853
385,46.0208
1317,48.725
31,50.4737
96,33.3667
1672,28.2963
1549,38.65
2163,79.7391
3442,36.2051
793,36.8571
40,66.9756
2528,33.6981
5365,62.4828
2158,59.3571
220,36.3636
107,51.3478
2640,51.5385
5,64.5238
2414,32.5714
1408,27.2075
2421,46.3333
349,60.1739
1485,37.7255
1655,80.24
2525,31.625
890,37.2143
3550,57.8
234,41.5556
775,26.2917
93,52.5152
243,43.8182
59,58.4167
139,83.6
112,70.8
1,69.1071
2482,31.5926
221,37.52
146,47.549
